age,gender,bmi,smoking_status,physical_activity_level,sleep_hours_per_night,stress_level,spicy_food_frequency,fatty_food_frequency,coffee_intake_per_day,alcohol_consumption,carbonated_drinks_per_week,fast_food_frequency_per_week,late_night_eating,gerd_risk_percentage,gerd_risk_category
45,Male,28.5,Active smoker,Low,5,High,Very Often,Often,4,Weekly,10,5,Yes,88.42,High Risk
22,Female,21.2,Non-smoker,High,8,Low,Rarely,Never,1,Never,1,1,No,12.15,Low Risk
34,Male,32.1,Former smoker,Moderate,6,Medium,Sometimes,Sometimes,3,Occasionally,5,3,Yes,58.70,Medium Risk
56,Female,24.8,Non-smoker,Low,7,Medium,Often,Sometimes,2,Never,2,2,No,35.20,Medium Risk
29,Male,19.5,Non-smoker,High,9,Low,Never,Rarely,0,Never,0,0,No,8.40,Low Risk
41,Female,29.8,Active smoker,Low,4,High,Very Often,Very Often,5,Daily,12,6,Yes,94.10,High Risk
38,Male,26.4,Former smoker,Moderate,7,Medium,Sometimes,Often,2,Weekly,4,3,No,48.25,Medium Risk
52,Female,33.5,Active smoker,Low,5,High,Often,Often,3,Weekly,8,4,Yes,82.60,High Risk
27,Male,22.3,Non-smoker,High,8,Low,Rarely,Rarely,1,Never,2,1,No,15.30,Low Risk
63,Female,27.1,Non-smoker,Low,6,Medium,Sometimes,Sometimes,2,Occasionally,3,2,No,41.90,Medium Risk
19,Male,23.5,Non-smoker,Moderate,7,Low,Sometimes,Rarely,1,Never,4,2,No,26.80,Low Risk
48,Female,34.2,Active smoker,Low,4,High,Very Often,Very Often,4,Daily,14,7,Yes,97.50,High Risk
31,Male,25.6,Former smoker,Moderate,6,Medium,Often,Sometimes,2,Weekly,6,3,Yes,62.15,Medium Risk
25,Female,20.1,Non-smoker,High,8,Low,Never,Never,0,Never,1,0,No,9.80,Low Risk
55,Male,31.4,Active smoker,Low,5,High,Very Often,Often,3,Weekly,9,5,Yes,85.40,High Risk
42,Female,24.2,Non-smoker,Moderate,7,Medium,Rarely,Sometimes,2,Never,2,2,No,30.25,Low Risk
37,Male,28.9,Active smoker,Low,6,High,Often,Often,4,Weekly,7,4,Yes,78.90,High Risk
28,Female,21.8,Non-smoker,High,8,Low,Rarely,Rarely,1,Never,0,1,No,14.20,Low Risk
50,Male,32.7,Active smoker,Low,5,High,Very Often,Very Often,4,Daily,11,6,Yes,91.30,High Risk
33,Female,26.8,Former smoker,Moderate,7,Medium,Sometimes,Sometimes,2,Weekly,5,3,No,46.50,Medium Risk
